Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Mês (Código),Mês,Variável (Código),Variável
3,Unidade da Federação,,,...,35,São Paulo,198712,dezembro 1987,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,2.03,35,São Paulo,198712,dezembro 1987,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198712,dezembro 1987,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198712,dezembro 1987,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198712,dezembro 1987,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198712,dezembro 1987,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198712,dezembro 1987,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198801,janeiro 1988,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198801,janeiro 1988,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198801,janeiro 1988,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,2.39,35,São Paulo,198801,janeiro 1988,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198801,janeiro 1988,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198801,janeiro 1988,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198801,janeiro 1988,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198801,janeiro 1988,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198801,janeiro 1988,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198802,fevereiro 1988,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198802,fevereiro 1988,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198802,fevereiro 1988,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,2.78,35,São Paulo,198802,fevereiro 1988,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198802,fevereiro 1988,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198802,fevereiro 1988,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198802,fevereiro 1988,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198802,fevereiro 1988,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198802,fevereiro 1988,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198803,março 1988,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198803,março 1988,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198803,março 1988,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,3.31,35,São Paulo,198803,março 1988,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198803,março 1988,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198803,março 1988,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198803,março 1988,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198803,março 1988,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198803,março 1988,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198804,abril 1988,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198804,abril 1988,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198804,abril 1988,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,3.80,35,São Paulo,198804,abril 1988,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198804,abril 1988,1193,Custo médio m² - componente material - número-índice
